,Company_Name,Location,Job_Title,Job_Description,Salary_Estimate,Rating,Size,Founded,Type,Sector,Industry,Revenue,jd_python,jd_r,jd_sql,jd_nosql,jd_mongo,jd_tableau,jd_bi,jd_panda,jd_numpy,jd_spss,jd_stats,jd_excel,jd_ml,jd_ds,Rank,Min_Salary,Max_Salary,Rate,Min_Size,Max_Size,Duration,IsPrivate
90,"RHB Banking Group",Kuala Lumpur,"Snr Biz Analyst, P&A Scrd&Un","Working Hour
Regular Hours
Monday - Friday
Business Area
Retail Banking
Location
Malaysia - Kuala Lumpur

Description

Primary Objective:
Provide planning and analysis support to GCB teams wrt Secured and Unsecured products
Work alongside businesses, supporting and advising their strategic and operational decision making. Provide insights based on in-depth understanding of key drivers, sound analysis and understanding of economic trends and customer behaviour.
Generate quality customer insight, manage information, identify trends to assist decision making. Apply business understanding and leverage analytics to support delivery of squad mission

Key Responsibilities:
Assist Squad lead in managing budget exercise
Manage critical analysis, e.g. CPA / cost per sales study, thematic review
Assist in handling queries from external auditor and/or authorities, e.g. BNM
Carrying out analysis on complicated matters, new/urgent or adhocs request received
Carry out RIP hurdle rate half yearly review and compile half yearly RIP hurdle rate deviation tracking from BU.
Cost per Account / Cost per acquisition (sales) study
Monthly forecast – collation of drivers from business and translate into financials (Sales, Balances & Revenue)
Manage & prepare rolling forecast (4+8, 5+7, 6+6, 8+4, 9+3, 10+2 etc.) and annual budget cycle guided by Group Finance and Group Strategy:
i) Scenario planning;
ii) Collate business & management input & economic factors guided by Group Finance and Group Strategy
iii) Prepare financial workings (Sales, Balances & Revenue), perform analysis and challenge/provide assumptions
iv) Discuss and validation of assumptions, sales channel productivity & HC (work with reporting cycle)
v) Provide balances to LLP team for computation
vi) Provide sales numbers to reporting circle/incentive team for incentive computation
vi) Discussions and alignment with business and Management
vi) Participate in budget challenge sessions

Business financial gatekeeper / governance on strategic management of key expenditure for OPEX & CAPEX, – engage in reviews, strategic discussions, carry out analysis, challenge basis/assumptions to align Management objectives and financial/business sense for:
i) incentive schemes proposed by channel /sales / business
ii) Business (product) & sales channel campaign proposals
iii) GCB, Group initiatives related to the product – provide advise and guide project manager in developing business case calculation
Monthly reporting (MIS, KPI Tracker, BAU product report, Segment PnL, GMC, GRBC, GALCO) – receive reports from reporting cycle, assist to provide variance analysis and coach Reporting Circle in complicated reporting issue (e.g. potential input error by the originator)
Analyze and provide advice on variance and corrective action on monthly report for financial reporting business, sales channel
Review product pricing strategy paper/initiative and prepare RAROC analysis
Reporting of retail segment – assist to provide variance analysis
Attend periodical business / product / channel review meetings (mostly monthly, chair by GCB Director)
As a liaison between business and reporting circle
Review and assist BU on financials preparation for PIR(Pre & post implementation review) for product.
Manage RAROC, ROA, RWA analysis

Credit card and PF
Collects data from various sources to analyze turn around and present to stakeholders to get their buy in. Report impact of new strategy to Head of Retail BPA
Receive request on analysis of profitability from various department on pricing, i.e. PF, Balance Transfer, Cash Excess, Dial Installment and Campaign.
Receive request from LSC, Group Finance, FTP and analyze data to provide report on profitability, margin and impact.

Others
Support the Squad Lead to plan tasks required for delivery of Quest
Support identification and interpretation of data/ reports/ research results
Document and refine product specifications (documentation of deliverables of squad)
Prepare reports/presentations based on the analysis for external & internal communications
Source and analyse data for the creation of baseline, future state costs, FTE, process maps and any other analysis required for mission
Analyse data and solves data-related issues
Examine ways to better understand customer needs and potential improvement of team performance via data capture and analysis
Provide guidance to the squad members.
Assist to coach junior team members
Participate in Agile Ceremonies
Drive continuous improvement
Requirements
Requirements:




Planning and strategy skills
Budgeting Skills
Possess strong presentation & communication, articulation in reporting for stakeholder, senior management
Well informed on the developments in the relevant domain
Good understanding of key bank processes
Business financials and planning knowledge
Good problem solving and analytical skills
Knowledge on analytical tools
Good written communication skills
Solid business sense and problem-solving & critical thinking to drive continuous improvement
Benefits
Dental, Education support, Miscellaneous allowance, Medical, Loans, Sports (e.g. Gym), Parking, Vision, Regular hours, Mondays - Fridays, Casual Business Wear, Performance Based Rewards",-1,3.6,10000+ Employees,-1,Company - Private,Finance,Banks & Credit Unions,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,,,3.6,10000.0,10000.0,,1.0
91,"Think City",Kuala Lumpur,Strategy & Analytics – Associate/Senior Associate (Spatial Analyst),"Job Description

The Strategy & Analytics (S&A) team focuses on generating evidence-based insights to guide urban policy-making, providing input into decision-making for cities at the strategic as well as tactical levels. We work to pioneer innovative ways of analysing, visualizing and narrating urban issues for the development of strategies and interventions. Our projects include baseline studies, policy/strategy documents, strategic masterplans, and a data analytics platform.

As a Senior Associate or Associate (Spatial Analyst) in Think City’s S&A team, you will be responsible in solving urban problems using data. This includes supporting and developing Think City’s Urban Data Platform, project management, business development and data R&D. The candidate should be able to offer strategic insights based on analysis of complex datasets (e.g. social, economic, environmental) using Geographical Information System (GIS) and must be proficient in ArcGIS and/or QGIS.

Responsibilities include:
Perform geospatial analysis in an urban-related domain
Use analytical and statistical skills to process, understand, and visualise data
Generate insights that inform evidence-based urban policy and strategy for diverse stakeholders (government, private sector, communities)
Synthesize and communicate findings to relevant stakeholders via written reports and presentations
Assist team members in other tasks including project management, administration, business development, and research and innovation
Conduct fieldwork – e.g. on-ground data collection and community engagement

Minimum qualifications:
Degree or equivalent in geospatial science, geoinformatics and related fields
Advanced skills in GIS software (ArcGIS and/or QGIS)

Minimum years of experience:
Associate: Fresh graduates welcomed
Senior Associate: Typically 2-5 years of work experience

Kind of Experience:
Highly-motivated and willing to learn and work using a holistic approach and in a diverse multi-disciplinary team
Interest in a role in a “think and do tank” focused on urban issues and aligned with the Sustainable Development Goals
Strong research, analytical, and logical thinking skills
Strong oral and written communication skills in English with a minimum working knowledge of Bahasa Malaysia
Possess an intellectual curiosity and ability to adapt and be flexible
Possess good planning, organising, facilitation, and interpersonal skills

Competencies:
Critical and analytical thinking
Problem solving
Agile team player
Willingness to learn

Technical Knowledge and Skills:
ArcGIS
QGIS
Project management
Business development
Data science and visualisation
Statistics",-1,4.0,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.0,,,4.0,1.0,50.0,,1.0
92,"ProMicom Service (M) Sdn Bhd",Malaysia,Global Screening Analyst (2pm - 11pm) - Cyberjaya - 6 Months,"Global Screening Analyst Industry: Oil and Gas Location: Cyberjaya, Selangor Work Hour: 2.00 pm - 11.00 pm | 5 days per week Salary: RM 2600 - RM 3000 Contract Duration: 6 months Mandatory skill set: Can converse, read, and write in Mandarin and English. Experience: General understanding of Trade Controls, Anti-Money Laundering & Anti-Bribery and Corruption policy, know-your-customer process Purpose The Group Screening Service (GSS) team provides a third-party screening service to the Client to assess counterparty risks related to money laundering, bribery corruption, tax evasion, trade controls including terrorist financing or other related financial crimes. The GSS Junior Analyst will learn the fundamentals of GSS and develop their ability to process screenings, under the guidance of a GSS Senior Analyst Job Description: Ensure that all screening activities assigned to you are performed to specified quality standards and within agreed timescales. Check the incoming documents, translating key information in the documents from Mandarin/Thai into English (where required), Undertake research into counterparties and/or risk entities using a combination of publicly available and commercially licensed IT tools and data sources. Collate the results of your search in a specified manner and retain evidence as required. Analyze and interpret your results to come to a conclusion that gives direction, advice, and guidance to the business. Communicate with all stakeholders in a precise and concise manner. Take responsibility for specific parts of business process areas delegated to you. Adhere to your own records management, screening evidence retention and email communication Contribute to and participate in specific projects (when required). Lead by example with regards to the Core Values of Honesty & Integrity and Respect for People, the five Behavioural Imperatives, Enterprise First Behaviours, and the Life-Saving Rules. Skills & Requirements : Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Business Studies/Administration/Management, Mass Communications or equivalent At least 0-3 year(s) of working experience in the related field is required for this position. General understanding of Trade Controls, Anti-Money Laundering & Anti-Bribery and Corruption policy, know-your-customer process. Excellent analytical, process skills Significant attention to detail Excellent written and verbal communication in English Knowledge of an additional language (Mandarin) - speak, read and write Ability to work well under pressure & prioritize tasks Ability to work in a global, matrix environment that spans multiple legal entities & teams Ability to work simultaneously with multiple conflicting priorities, timelines & stakeholders Excellent judgment & assessment skills; proactively employ personal curiosity to identify & research parties using a risk-based approach Computer literate (MS Office: advanced Excel and Word) 6 months Contract Positions available
ProMICOM Services (M) Sdn Bhd was incorporated in June 2004 and the corporate entity is MICOM Computer Centre (MICOM). MICOM was established in 1987 and has over the years evolved from a fledgling IT products retailer and IT service provider to an organization that has the expertise and resources to support medium to large scale organizations, with critical IT infrastructure and application requirements including the outsourcing of IT/Non-IT professional resources and payroll solution. Currently, 90% of our clients are multinational companies and government agencies from various business segments such as oil and gas, semiconductors, chemical, power, manufacturing, telecommunication, and education. Driven by a strong technical team, we strive continuously to provide high quality and advanced technological products, professional services, and training to meet the constantly evolving and demanding needs of corporations.
Bachelor's or Equivalent",MYR 30K - MYR 36K (Employer est.),3.6,1 to 50 Employees,-1,Self-employed,-1,-1,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,30000.0,36000.0,3.6,1.0,50.0,,0.0
93,"Accenture",Kuala Lumpur,Digital Data Reviewer,"Key Duties and Responsibilities:
Help improve the quality and safety of online contents by analyzing and reviewing user profiles, videos, and text-based content and/or investigating, escalating and/or resolving issues that are reported by users or flagged by the system. The analyst will also be responsible to fulfill the base metrices for efficiency and effectiveness (Quality, Consistency) that is used to train machine learning models.
Become and remain knowledgeable about the Client's products and policies
Make well balanced decisions and personally driven to be an effective advocate for the platform's community
Strong interpersonal skills, verbal and written communication skills and most importantly empathy
Review content within agreed turnaround times and standards of quality
Identify inefficiencies and improvement opportunities in workflows and suggest solutions or recommendations
Recognize trends and patterns, and escalate issues that may affect delivery of work in a timely manner

Preferred Bachelor’s Degree any field
Strong interpersonal skills, verbal and written communication skills and most importantly empathy
Familiar and/or proficient in using social media applications
Passionate about the Internet and has high level of proficiency in utilizing search engines
Has good attention to detail and able to work analytically within a problem-solving environment
High affinity and cultural awareness of political/social situations regarding the relevant market/region that will be supported by the Analyst, which is critical for decisions
Should clear English language proficiency test
Able to adapt to continuous change
Flexible in cyclical work schedule",-1,4.0,10000+ Employees,1989,Company - Public,Business Services,Consulting,$10+ billion (USD),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,,4.0,10000.0,10000.0,33.0,0.0
94,"CBRE",Kuala Lumpur,Data Analyst - Tableau & Firebase (Kuala Lumpur),"Posted
10-Mar-2022
Areas of Interest
Digital & Technology / Information Technology
Location(s)
Kuala Lumpur - Wilayah Persekutuan Kuala Lumpur - Malaysia
Hybrid work environment
Work for a global product with an exciting range of projects to work on
Access to professional development tools and individual training each year

CBRE Group, Inc. Is the world's largest commercial real estate services and investment firm. We owns and develops a suite of digital products to support its lines of business and its clients. Among them, CBRE Host Building is a digital tenant experience platform that connects tenants to the environments, amenities and communities that matter the most.

Host offers our clients an unparalleled workplace experience. With hospitality-driven services that focus on increased productivity and employee wellbeing, we help ensure that people have everything they need to be at their best and do great work each day.

As a Data Analyst, you’ll be:
Developing, maintaining, and managing advanced reporting, analytics, dashboards and other BI solutions.
Performing and documenting data analysis, data validation, and data mapping/design.
Reviewing and improving existing systems and collaborating with teams to integrate new systems.
Developing queries to analyse the effect of changes to the Host platform and trends over time
Creating tools to analyse data within the organization.

What we’re looking for:
Degree in mathematics, computer science, information systems, or related field.
Relevant 2-3 years’ work experience.
A solid understanding of SQL, rational databases, and normalization.
Proficiency in use of query and reporting analysis tools.
Competency in Excel (macros, pivot tables, etc.)
Extensive experience in developing on and managing modern BI environments (Tableau, Microsoft Power BI).
Experience with working with Firebase datasets.
Experience with Python and Azure Databricks is desirable.

If working with the best in an exciting and rewarding team environment appeals to you then we want to hear from you. Please attach your CV to your application.",-1,4.0,10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0.0,,,4.0,10000.0,10000.0,116.0,0.0
95,"AFFIN HWANG ASSET MANAGEMENT BERHAD",Malaysia,"Analyst, Performance & Investment Risk","â€¢ Portfolio and index data compilation and mining; â€¢ Generate portfolio and benchmark return and risk analytics, attribution, composites; â€¢ Analyse performance output and produce relevant reports and charts; â€¢ Maintain general investment references such as approved stocks list, model portfolios; â€¢ Administer all account set up and maintenance with stockbrokers and financial institutions; â€¢ Manage and support systems and software such as Bloomberg, performance measurement systems; â€¢ Coordinate the investment and performance materials for internal and external publications such as client report, fact sheets, fund financial reports and â€¢ Coordinate the relevant materials for Investment, management, board of directors, investment committee, clients etc.
Affin Hwang Asset Management Berhad (â€œAffin Hwang AMâ€�) is an independently-managed, bank-backed asset management ï¬�rm that started its roots in 2001, serving the needs of corporate, institutions, pension funds, government-linked companies, high net worth individuals and the mass affluent. We specialize in customized solutions and invest into equities, bonds, money market, structured products and other alternative investment instruments to generate returns for our clients. Our product offerings include unit trust funds, feeder funds, Shariah-compliant funds, cash management solutions, private mandates, exchange-traded funds and other wealth management solutions. Our Shariah investment solutions are made available through our wholly-owned subsidiary and Shariah-compliant investment arm, AIIMAN Asset Management Sdn Bhd (â€œAIIMANâ€�).
Bachelor's or Equivalent",-1,3.8,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,3.8,51.0,200.0,,1.0
96,"Think City",Kuala Lumpur,Strategy & Analytics – Associate/Senior Associate (Strategy & Policy Analyst),"Job Description

The Strategy & Analytics (S&A) team focuses on generating evidence-based insights to guide urban policy-making, providing input into decision-making for cities at the strategic as well as tactical levels. We work to pioneer innovative ways of analysing, visualising, and narrating urban issues for the development of strategies and interventions. Our projects include baseline studies, policy/strategy documents, strategic masterplans, and a data analytics platform.

As an Associate/Senior Associate (Strategy & Policy Analyst) in Think City’s Strategy & Analytics team, you will be responsible in delivering urban strategy, advisory, and research services. You should have a deep understanding of urban issues in Malaysia and demonstrate capabilities in structured thinking and problem solving. The candidate will generate insights, synthesise analysis and findings, and develop recommendations in written reports and/or presentations for government, private sector, and communities. The role adds value by providing solutions and policy recommendations to address urban challenges for cities in Malaysia and globally.

Responsibilities include:
Developing a deeper and broader understanding of urban issues in a Malaysian and global context
Applying quantitative and qualitative data analysis methods to develop insights and inform evidence-based city-making solutions and policy-making approaches
Assisting in the development of strategies and programmes for cities that Think City has a presence and active engagement in
Producing written reports and presentations to communicate recommendations and findings
Assist team members in other tasks including project management, administration, business development, and research and innovation

Minimum qualifications:
Degree in urban studies, economics, public policy, business, finance, statistics, data science, or related fields

Minimum years of experience:
Associate: Fresh graduates welcomed
Senior Associate: Typically 2-5 years of work experience

Kind of Experience:
Highly-motivated and willing to learn and work using a holistic approach and in a diverse multi-disciplinary team
Interest in a role in a “think and do tank” focused on urban issues and aligned with the Sustainable Development Goals
Strong research, analytical, and logical thinking skills
Strong oral and written communication skills in English with a minimum working knowledge of Bahasa Malaysia
Possess an intellectual curiosity and ability to adapt and be flexible
Possess good planning, organising, facilitation, and interpersonal skills

Competencies:
Strategic planning
Data analysis
Critical and analytical thinking
Problem solving
Teamwork and collaboration
Self-awareness and openness to learning

Technical Knowledge and Skills:
Strong oral and written communication skills
Proficient in MS Office
Highly competent in Excel or other statistical software/coding",-1,4.0,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3.0,,,4.0,1.0,50.0,,1.0
97,"Accenture",Kuala Lumpur,Digital Data Reviewer (Mandarin Speaker),"About Accenture
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centres. Our 506,000 people deliver on the promise of technology and human ingenuity everyday, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at
www.accenture.com.

Job Description:
Review the apps in given time in accordance to the policies set by the client
Maintain optimum utilization during a working shift
Perform high quality reviews
Maintain the turnaround time on app reviews
Should be up to date on the policy changes
Be a team player
Provide reverse feedback on policies and apps
Work in a 24x7 environment (rotating)
Take quality feedback and work on it
Should be able to deal with sensitive material.
Ability to escalate when needed according to the process
Being able to keep their knowledge of current affairs up to date.
Should be able to navigate, search and download apps from client play store on the
appropriate devices
Experience using and downloading Android-based apps

Training
Individuals are provided paid training (typically 1 month upon joining), depending on the group supported. Thereafter, you will transition to your respective schedule. You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The
sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.

Job Requirement:
Preferred Bachelor’s Degree any field
Excellent Mandarin and English language proficiency test is required
Computer savvy, technologically capable – especially web browsers, and data entry skills
(Able to run virus and spyware scans).
Exposure to culture and trends.
Ability to read and interpret text requests accurately in Mandarin to support Mandarin
speaking clients.
Proactive with a strong work ethic
Adaptable to learn new processes, concepts, and skills.
Demonstrates the ability to work as part of a team adding positive attitude and business
focus.
Ability to work in a fast-paced deadline driven environment.
Ability to manage a team of multi-cultural analysts in a fast-paced environment.
Ability to communicate clearly and effectively.",-1,4.0,10000+ Employees,1989,Company - Public,Business Services,Consulting,$10+ billion (USD),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,,,4.0,10000.0,10000.0,33.0,0.0
98,"Shopee",Kuala Lumpur,Data Analyst - ShopeeFood,"DepartmentData Analytics
LevelEntry Level
LocationMalaysia - Kuala Lumpur
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
Job Description:
Create KPI trackers, download boards and any ad-hoc reports
Provide inputs for business team budget planning and data-driven decision making strategy
Provide data-driven analysis for campaigns and user behavior
Automating manual reporting process by SQL/Python
Ad-hoc requests to provide data support to other business functions
Partnering with business teams on data-driven decision making strategy
Requirements:
Min. 2 years of experience in data analyst/business intelligence roles
Solid and proven technical skills, SQL, Python, Excel, Google Sheets etc
Be able to do storytelling from numbers to business
Detail-oriented and excellent data sense
Good interpersonal and communication skills
Logical thinking and strong problem-solving skills
Background in fast-growing industries (Internet, consulting etc) preferred",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,,,3.9,5001.0,10000.0,7.0,1.0
99,"Shopee",Kuala Lumpur,SPX - Data Analyst,"DepartmentData Analytics
LevelExperienced (Individual Contributor)
LocationMalaysia - Kuala Lumpur
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
Job Description:
Establish processes to collect and analyse internal and external market data to derive operation insights
Extract data from data warehouse using SQL, clean the data, apply functions & formulas to ensure data is structured, massage & analyse the data
Develop operations strategies and support the operation and logistic teams in executing the strategies
Establish processes and identify appropriate indicators to monitor performance and progress
Be the oracle that can spot dangers and pitfalls down-the-road by analysing trends and taking a critical view of existing operation strategy
Automate reporting processes as needed by the team and the company
Requirements:
Bachelor’s Degree in numerical / analytical field is preferred
Proficiency in Excel and SQL is a must
Knowledge in Python is an added advantage
Can be based in Shah Alam, Selangor
Minimum 3 years of working experience in data analysis related work
Proficiency in automation of tasks and reports.
Systematic thinker with the ability to understand the holistic picture and complex consideration
Ability to present complex ideas and solutions in a structured manner",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,,,3.9,5001.0,10000.0,7.0,1.0
100,"Fple Sdn Bhd",Kuala Lumpur,Senior Data Analyst,"How does this career will benefit you?
Fast paced and growing environment.
Extremely skilled team that strive for perfection.
Outstanding career growth & development opportunities.
Provide continuous learning to you by staying ahead with the latest technologies.
Competitive salary & work benefit package (eg, subsidy for housing loan, car loan, PTPTN loan, medical screening, billings and many more!)
The essentials of the role:
Must possess strong passion in interrogating data and competent in data wrangling activities.
Build & maintain dashboards for all stakeholders to provide visibility of key metrics, monitor performance and evaluate business process for improvements.
Actively connect dots and identify risks / challenges / gaps and provide effective problem solving in complex projects where data & analytics play significant roles.
Track and forecast trends in sales and marketing.
Establish processes and identify appropriate indicators to monitor performance and evaluate business process for improvements.
Provide concise data reports and clear data visualization for management.
Automate reporting processes as needed by the team and the company.
Develop data-backed business strategies and support the business teams in executing the strategies.
Review data deficiencies or errors and correct any incompatibilities.
Comply with data integrity and security policies.
Prepare reports on findings translating complex results into business terms.
To be successful in this role, you will need to have:
Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, Business Analytics, etc.)
At least 2 years of experience in data analytics or data modelling.
Experienced with programming languages such as Python, SQL.
Ability to do statistical modelling such as time series, forecasting, regression or build ML models for solving business challenges and creating significant business values.
Data visualisation skills using Google Data Studio or Power BI.
Familiar with Microsoft Office (Excel, PowerPoint) and Google Analytics.
Able to work independently without detailed instructions, with good initiative and cross-team player.
Ability to think analytically and optimise for performance and ROI focus.
Experience in solving business problems to improve business performance.
Ability to meet deadlines under pressure.
Exceptional communication, documentation, and presentation skills.
*Remarks: Office reachable by MRT
Job Types: Full-time, Permanent
Salary: RM5,000.00 - RM10,000.00 per month
Benefits:
Additional leave
Dental insurance
Free parking
Maternity leave
Opportunities for promotion
Professional development
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Overtime pay
Performance bonus",MYR 60K - MYR 120K (Employer est.),2.7,51 to 200 Employees,2016,Company - Private,Information Technology,IT Services,Unknown / Non-Applicable,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3.0,60000.0,120000.0,2.7,51.0,200.0,6.0,1.0
101,"ProMicom Service (M) Sdn Bhd",Malaysia,Financial Reporting Analyst (Upstream) - 6 Months Contract,"Reporting & Analysis (Upstream Reporting Analyst) Oil & Gas Industry (Shell) 6.5 Months Contract Cyberjaya, Selangor / Work From Home Mon - Fri [9.00am - 6.00pm] RM 3000 - RM 4000 Responsibilities: The role of analyst will be to ensure that all reporting activities & responsibilities are performed in an accurate, timely and efficient manner. The candidate will be responsible for certain closing activities and financial analysis which includes verifying financial data, making appropriate adjustments if needed, and provide financial analysis to facilitate business decision support. This position will report to R&A Operations Manager in the Finance Operations centre (FO) in Cyberjaya, Malaysia, and will liaise with the respective businesses based across various geographical locations. The successful candidate must possess strong communication skills and be capable of developing highly effective relationships with various stakeholders. Operational: Reporting & Analysis support Understand and support specialized requirements for financial reporting in Upstream business Support Financial analysis by providing commentaries on monthly, quarterly and yearly movements and balances for Financial Statements. Post month end related journals Troubleshoot & investigate system errors Local statutory reporting Perform balance sheet reconciliations (Blackline) ensuring all control requirements met on a timely basis Central Finance Support Collaborate with relevant stakeholders on and offshore to deliver overall success in accounting and reporting services Transaction analysis & ad hoc queries to support requests from Onshore, JV Partners & multiple FO stakeholders. Assist in improving the level and quality of information that is provided to the business and used internally for review and control SOX/Financial Controls Ensure all controls complied with and evidenced Assisting with the process and all internal/external audit requests including those for JV partners and Production Sharing Contracts Process Improvements Responsible for planning own workload in order to meet stated deadlines and escalating issues as appropriate Identify accounting issues and propose solutions / escalate as necessary. Identify areas for process improvements within existing scope Job Requirements: Degree in Finance/Accounting or Professional Qualifications with 3 years related work experience. Able to display good teamwork focused to deliver results and meeting business needs Able to work independently and with offsite stakeholders Able to communicate and present well Attention to detail and willingness to learn. Able to work under pressure and highly disciplined in meeting deadlines Able to work with Group resources on process streamlining and standardization Knowledge of Shell businesses will be an advantage. Sound IT knowledge and hands-on experience/skills preferred e.g. SAP, Microsoft applications especially Excel Proficient in written and spoken English
ProMICOM Services (M) Sdn Bhd was incorporated in June 2004 and the corporate entity is MICOM Computer Centre (MICOM). MICOM was established in 1987 and has over the years evolved from a fledgling IT products retailer and IT service provider to an organization that has the expertise and resources to support medium to large scale organizations, with critical IT infrastructure and application requirements including the outsourcing of IT/Non-IT professional resources and payroll solution. Currently, 90% of our clients are multinational companies and government agencies from various business segments such as oil and gas, semiconductors, chemical, power, manufacturing, telecommunication, and education. Driven by a strong technical team, we strive continuously to provide high quality and advanced technological products, professional services, and training to meet the constantly evolving and demanding needs of corporations.
Bachelor's or Equivalent",MYR 42K - MYR 48K (Employer est.),3.6,1 to 50 Employees,-1,Self-employed,-1,-1,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,42000.0,48000.0,3.6,1.0,50.0,,0.0
102,"Grab",Petaling Jaya,"Data Analyst, Commercial Analytics","Job Description:
The Role
This role requires the candidate to develop a strong grasp of the data available across several verticals such as GrabFood & GrabMart to assist the wider Commercial & Partnerships team in planning and execution
Assist the wider team with the use of data analytics to explore growth areas, drive impact for different initiatives and improve merchant-partner performance
The Team:
Commercial & Partnerships team is the external face of Grab, driving long term growth of the merchant-partners on our platform through consumer centric initiatives and relationship development. The team works across all business functions in Grab such as Strategy, Marketing and Operations to drive continuous improvements and data-driven interventions
The day-to-day activities:
Work with Commercial leads and the wider team to validate business hypotheses and inform decision making
Manage recurring reporting to business teams, maintaining dashboards and making improvements in efficiency wherever necessary
Assist the team with ad hoc data queries and building self-serve tools
Evaluate effectiveness of promotional campaigns from merchant-partner’s perspective
The must haves:
Strong in SQL – have experience manipulating large datasets (complex joins, multiple cte / nested queries)
Tableau / PowerBI experience is a plus
Ability to analyse data logically, with a clear idea of the caveats involved and its implications
Able to thoroughly explore and investigate data before putting it to use
Detail-oriented with strong intuitions on how to solve problems creatively and quickly
Has interest in the commercial side of things and able to take into consideration the viewpoints of business stakeholders in analyses and recommendations
Ideally 1-2 years of working experience in similar roles
Ability to thrive in a fast-paced, complex and dynamic environment
Strong communicator with ability to switch hats between data/technical speak and business/layperson speak",-1,4.3,1001 to 5000 Employees,2012,Company - Private,Information Technology,Internet,Unknown / Non-Applicable,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,,,4.3,1001.0,5000.0,10.0,1.0
