Company_Name,Location,Job_Title,Job_Description,Salary_Estimate,Rating,Size,Founded,Type,Sector,Industry,Revenue
"Standard Chartered
3.9",Kuala Lumpur,Business Analyst,"Job: Technology
Primary Location: Asia-Malaysia-Bukit Jalil KL
Schedule: Full-time
Employee Status: Permanent
Posting Date: 15/Mar/2022, 9:43:52 PM
Unposting Date: Ongoing

About Standard Chartered
We're an international bank, nimble enough to act, big enough for impact. For more than 160 years, we've worked to make a positive difference for our clients, communities, and each other. We question the status quo, love a challenge and enjoy finding new opportunities to grow and do better than before. If you're looking for a career with purpose and you want to work for a bank making a difference, we want to hear from you. You can count on us to celebrate your unique talents. And we can't wait to see the talents you can bring us.

Our purpose, to drive commerce and prosperity through our unique diversity, together with our brand promise, to be here for good are achieved by how we each live our valued behaviours. When you work with us, you'll see how we value difference and advocate inclusion. Together we:
Do the right thing and are assertive, challenge one another, and live with integrity, while putting the client at the heart of what we do


Never settle, continuously striving to improve and innovate, keeping things simple and learning from doing well, and not so well


Be better together, we can be ourselves, be inclusive, see more good in others, and work collectively to build for the long term
In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing.
Core bank funding for retirement savings, medical and life insurance, with flexible and voluntary benefits available in some locations


Time-off including annual, parental/maternity (20 weeks), sabbatical (12 weeks maximum) and volunteering leave (3 days), along with with minimum global standards for annual and public holiday, which is combined to 30 days minimum


Flexible working options based around home and office locations, with flexible working patterns


Proactive wellbeing support through Unmind, a market-leading digital wellbeing platform, development courses for resilience and other human skills, global Employee Assistance Programme, sick leave, mental health first-aiders and all sorts of self-help toolkits


A continuous learning culture to support your growth, with opportunities to reskill and upskill and access to physical, virtual and digital learning


Being part of an inclusive and values driven organisation, one that embraces and celebrates our unique diversity, across our teams, business functions and geographies - everyone feels respected and can realise their full potential.
Recruitment assessments - some of our roles use assessments to help us understand how suitable you are for the role you've applied to. If you are invited to take an assessment, this is great news. It means your application has progressed to an important stage of our recruitment process.

Role Responsibilities
Overview:
ICS TRP is a critical portfolio Standard Chartered Bank operating under the overall purview of “Trust, Data & Resilience” in the COO organisation. The ICS TRP is made up of Programme Managers, Project Managers, Business Analysts, Architects, Engineers and Testers, who are accountable designing and delivering cyber security capabilities to maintain and continuously improve Bank’s cyber security posture in today’s ever-evolving cyber security landscape. While the overall ICS TRP Portfolio is transitioning into the New Ways of Working [NWoW], this specific role will be built from the outset in that context and apply all the principles/concepts/terminology specified in the NWoW.
Scope of Role:
The Security Business Analyst will be an interface between technology teams, support teams, and business partners to identify and define solutions to maximize the value delivered by an organization to its stakeholders. Business Analysts work across all levels of an organization and participate in defining the goals and requirements for programs and projects or supporting continuous improvement in its technology and processes.
Determines the overall requirements gathering strategy and plans the requirements phase of the project – produce the Solution Design Document.
Acts as the liaison among the stakeholders to elicit, analyze, document, communicate and validate business and system requirements using industry leading practices within the business analyst profession. Ensures all requirements are fulfilled and facilitated by the sprint goals of the agile teams. Produce/Reviews the Solution Design Document and any other project related artefacts that aligns with the Squads standards, NWoW requirements and any other activities that supports agile delivery.
Key Stakeholders
ICS-TRP
Cyber Security Services
Security Technology Services
Chief Information Security Office
Key Business Stakeholders including: All Business and Function

Other Responsibilities
Support the Agile team to ensure delivery of Project Objectives and Security Team governance, risk and compliance objectives
Single point of contact for planning and drive the operations readiness to adopt the new solutions/deliverables and assessment activities
Experienced in managing Infrastructure, Security tools & business process requirements
Produce and obtain signoffs for all the required project documentation to comply with the Banks requirements.
Experience with Business Operations and Process documentation and requirements gathering
Experience working both independently and a team oriented, collaborative environment
Track multiple potential deficiencies as identified in assessments until resolution is sufficiently demonstrated
Successfully engage in multiple security governance adherence initiatives simultaneously
Perform subject matter expert role for audit and compliance requirements of the project.
Develop and deliver progress and remediation reports and presentations as directed by Security Team leadership
Promote a risk-aware culture, ensure efficient and effective risk and security management practices by adhering to required standards and processes
Ability to work in a fast-paced, team-oriented environment. - A strong & assertive communicator in speaking & writing.
Recognize complex problems, analyze situations and provide suggested/implemented resolution(s)
Ability to interact professionally with a diverse group including executives, managers and subject matter experts
Ability to apply critical thinking to control and business risk interpretations on behalf of the Cyber Security Team and clearly articulate
Our Ideal Candidate
SCRUM, AGILE, Industry recognized audit and assessment certification is preferred (e.g. CISA, CRISC, QSA, etc.) and Business Analysts certification.
Industry recognized network or cyber security certification is preferred (e.g. CISSP, CISM, SANS, etc.)
ROLE SPECIFIC TECHNICAL COMPETENCIES
Proficiency in the MS Office suite, including Excel, PowerPoint, Word
Proficiency with MS Project or equivalent
Proficiency with Business Process Model and Notation (BPMN) 2.0
Proficiency with documented business processes
Familiarity with IT Infrastructure Library (ITIL) processes
Visit our careers website www.sc.com/careers",-1,3.9,10000+ Employees,1969,Company - Public,Finance,Investment Banking & Asset Management,$10 to $25 million (USD)
"Shopee
3.9",Kuala Lumpur,Business Intelligence - Price Check Analyst,"Job Description:
Conduct daily price check to compare prices between items sold in Shopee and same items sold on other e-commerce platform
Build SKU banks by identifying lowest prices in various e-commerce platform and recording them accurately
Other ad hoc projects as needed
Requirements:
Diploma or bachelor graduate from a reputable university
Detailed oriented, be able to point out mistakes and be willing to voice them out
Fresh grads are encouraged to apply
Basic Microsoft excel is preferred",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable
"J&T Cargo (Malaysia) Sdn Bhd
3.5",Kuala Lumpur,Database Analyst,"Proactively communicate and collaborate with stakeholders to analyze information needs and functional requirements according to the core business.
Engage in multiple initiatives simultaneously and optimize the initiatives on when executing the business plans.
Propose sales models to the sales team and enhanced it in order to reach the objective set by the company.
Develop requirements specifications according business needs of the company.
Responsible in building the department’s data storage and promote the systematic data into online
Requirements
Possess a Bachelor Degree in relevant field.
At least 5 year’s working experience in performance management, process improvement, business advisory or financial analysis.
Strong passion and understanding of big data.
Ability to work well under pressure.
Excellent analytical and problem-solving skills
Job Type: Full-time
Salary: RM4,000.00 - RM6,000.00 per month
Benefits:
Parental leave
Schedule:
Monday to Friday",MYR 48K - MYR 72K (Employer est.),3.5,10000+ Employees,2018,Unknown,Transportation & Logistics,Express Delivery Services,Unknown / Non-Applicable
"HP
4.2",Kuala Lumpur,Credit and Collection Analyst,"HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
At HP, the future is yours to create!
As a Credit and Collection Analyst in Kuala Lumpur, you will:
Analyze and recommends customer credit limits based upon credit scores.
Investigate potential credit fraud and works closely with internal security and business partners to resolve.
Resolve credit issues independently.
Negotiate down payment with customers and HP sales staff to allow customer to purchase above their credit limit.
Analyze and researches customer's receivables account delinquency and determines the type of communication method to facilitate payment.
Resolve disputes related to customer payment on delinquent accounts and negotiates and ensures payment from customer.
Recognize trends for non- payment and resolves issues by engaging internal partners.
Initiate the dispute resolution process with internal HP partners and follows issue and ensures resolution for HP and customer.
Analyze at-risk customers and recommends account strategies to prevent delinquencies.
Are you a high performer? We are looking for an individual with:
First level university degree with a focus in business or economics recommended or equivalent experience.
2-4 years of experience in collection.
Intermediate written and verbal communication, negotiation, and conflict resolution skills.
Intermediate accounting knowledge and problem solving skills.
Basic computer skills.
Intermediate prioritization skills and basic understanding of risk mitigation tools.
Intermediate understanding of HP's order management process, dispute management process.
Intermediate understanding of collection processes and financial concepts.
Intermediate influence skills.
#LI-POST

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.
So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.
From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!",-1,4.2,10000+ Employees,1939,Company - Public,Information Technology,Computer Hardware & Software,Unknown / Non-Applicable
"AIA
3.9",Cyberjaya,Business Analyst,"Bring your career aspirations to life with AIA!
Responsible for supporting specific functional / business areas in terms of information system needs
Responsibilities:
Assist on delivery of IT solutions / process revamp to support various business initiatives
Required to involve in discovering workshop to understand the user requirement, process flow, user journey, etc
Perform requirements analysis, documents requirements, and revises existing system logic, business processes and workflows as necessary
Identity business needs and define actions to improve the operation of a IT systems
Create and updates system documentation
Manage internal stakeholders to drives SIT / UAT
Document requirements, evaluate scenarios, and execute changes needed to respond to requirements
Identify test scenarios, develops test scripts, and creates expected results for use in test cycles
Analyse test outcomes to ensure proper management and remediation of identified defects
Skills:
Working experience in business analysis.
Possess business techniques on facilitating change of the business flow
Strong analytical and problem solving skills
Able to work independently, and work with cross-function teams
Able to deliver results in short timeframe and adaptable to changes
Strong interpersonal skill and communication skill
English reading/writing and verbal communication
Build a career with us as we help our customers and the community live healthier, longer, better lives.
You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.",-1,3.9,10000+ Employees,1919,Company - Public,Insurance,Insurance Carriers,Unknown / Non-Applicable
"The Center of Applied Data Science
3.9",Kuala Lumpur,Data Analyst / Data Visualizer / Business Intelligence Specialist,"Data is a set of raw, unorganised facts that must be processed to be useful. Data is seemingly random and useless until it is captured, cleaned, collated, organised and analysed. This transformation, from information to insights, is at the core of data science.
Data analysts and visualizers are in demand for their ability to develop meaningful insights for business improvements. They combine the strength of statistics with the rigour of analytics to come up with data-derived, statistically relevant and logically predictable outcomes.
By using analytics capabilities, organisations can run their business operations better, improve overall customer experience and expand their product and service offerings by increasing their competitive advantage. Organisations are looking to prioritise analytics solutions. C-level executives are looking for intelligent solutions to convert raw data into meaningful information to make strategic decisions in their businesses
If you are interested to embark on a rewarding career, data analytics is the right direction.
The Data Star Accelerator aims to groom young talents is not limited to teaching “hard skills” such as data science, analytics, and AI (Artificial Intelligence). We also have a Nurture Development Program to ensure our graduates are work-ready, with the mindset and heartset to bring out their best at work.
To date, CADS has produced over 800 graduates from our Data Star Accelerator, many of whom have already been hired by various leading organizations, including Fortune 500 companies. The majority of the candidates are earning RM2,500 and above as their starting salary.
The job placement includes a data science skills development program where candidates get 1 to 2 months of in-class intensive data science enablement training and mentorship with experienced Data Scientists.
Get salary and allowance from industry job placement after the completion of training.
Limited sponsorship opportunities are available for young graduates interested in developing data literacy skills.
Visit https://go.thecads.com/datastar-job-applynow to submit your applications.
Work Remotely
Temporarily due to COVID-19
Job Types: Full-time, Permanent, Fresh graduate
Salary: RM2,500.00 - RM4,000.00 per month
Benefits:
Flexible schedule
Opportunities for promotion
Professional development
Work from home
Schedule:
Monday to Friday
Supplemental Pay:
Attendance bonus
Performance bonus
Education:
Bachelor's (Preferred)",MYR 30K - MYR 48K (Employer est.),3.9,1 to 50 Employees,2015,Company - Private,Education,Education Training Services,Unknown / Non-Applicable
"RHB Banking Group
3.6",Kuala Lumpur,L1 AML Analyst - Investment Bank,"Working Hour
Regular Hours
Monday - Friday
Business Area
Compliance
Location
Malaysia - Kuala Lumpur

Description


Primary Objective:
Identify customers that are associated with Sanctions, PEP and any adverse news. Screen the bank’s customers to ensure/minimize the risk of AML, Sanctions and Bribery and Corruption.
Escalate AML/CFT red flags/concerns on any suspicion over client's activities

Key Responsibilities:
Analyse and investigate customers who match against Sanctions and Non-Sanctions lists during the account opening and maintenance processes.
Conducts searches, gathers data and records evidence from internal systems, the internet, commercial databases and inquiry with business or Compliance contacts within the organization.
Accumulate facts from investigations to be utilized in presentation to Senior Management and Compliance.
Investigate and assess alerts for potential money laundering risks in the Bank.
Ensure efficient identification and monitoring of suspicious names
Ensure timely, efficient reporting of suspicious transactions
Conduct alert investigation using global standard policies, procedures and tools, aimed at meeting internal and external regulatory requirements.
Build and apply knowledge of sanctions and anti-money laundering processes.

Requirements
Requirements:
Bachelor Degree - in a related field.
Positive attitude and self-motivated
Benefits
Dental, Education support, Miscellaneous allowance, Medical, Loans, Sports (e.g. Gym), Parking, Vision, Regular hours, Mondays - Fridays, Casual Business Wear, Performance Based Rewards",-1,3.6,10000+ Employees,-1,Company - Private,Finance,Banks & Credit Unions,Unknown / Non-Applicable
Fit Lab Consultancy Sdn. Bhd.,Malaysia,Business Analyst,"Business Analyst Responsibilities: -Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions. -Leading ongoing reviews of business processes and developing optimization strategies. -Staying up-to-date on the latest process and IT advancements to automate and modernize systems. -Conducting meetings and presentations to share ideas and findings. -Performing requirements analysis. -Documenting and communicating the results of your efforts. -Effectively communicating your insights and plans to cross-functional team members and management. -Gathering critical information from meetings with various stakeholders and producing useful reports. -Working closely with clients, technicians, and managerial staff. -Providing leadership, training, coaching, and guidance to junior staff. -Allocating resources and maintaining cost efficiency. -Ensuring solutions meet business needs and requirements. -Performing user acceptance testing. -Managing projects, developing project plans, and monitoring performance. -Updating, implementing, and maintaining procedures. -Prioritizing initiatives based on business needs and requirements. -Serving as a liaison between stakeholders and users. -Managing competing resources and priorities. -Monitoring deliverables and ensuring timely completion of projects.
Fit Lab Consultancy is a network of innovative retail chains and brands providing enjoyment for all sportspeople. We share a strong and unique company culture, reinforced by our four values: Responsibility, Vitality, Generosity, and Authenticity. We place innovation at the heart of our activities: from research to retail, including conception, design, production, and logistics. Our teams channel all their energy into developing technical, good-looking, and simple products, always at the lowest possible prices.
Diploma / Advanced Diploma / Higher Graduate Diploma / DVM / DKM Level 4 / DLKM Level 5",MYR 60K - MYR 72K (Employer est.),-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Agensi Pekerjaan JobOnline Sdn Bhd,Cyberjaya,IT Projects Business Analyst [Agile] - (2 Years Contract) - Cyberjaya,"IT Projects Business Analysis
Oil & Gas Industry
Cyberjaya, Selangor
2 years Contract (until 31st Dec 2023)
Mon - Fri (8am - 5pm)
Projects Business Analysis is responsible for identifying and documenting the business needs of their clients and stakeholders, and helping to determine feasible solutions to meet business needs or resolve business problems.
This position will give you the opportunity to grow to become an active thought partner and solution visionary who shapes the technology demand and direction in the business community.
This position has the following accountabilities:
Precisely capture business concerns, value drivers, and functional/non-functional requirements, including health, safety, security, usability, data, and supportability considerations.
Translate business requirements into functionality and assess the risks - feasibility, opportunities, and business impacts of various solution options.
Assess and model processes, data flows, and technology to understand the current value and issues, and identify opportunities for improvement.
Create clear documentation to communicate requirements and related information; keep updated to align with the solution over the project lifecycle.
Ensure traceability of requirements from business needs and requirements, through testing and scope changes, to final solution.
Interact with software suppliers, designers and developers to understand software limitations, deliver elements of system and database design, and ensure that business requirements and use cases are handled
Configure and document software and processes, using agreed standards and tools.
Create acceptance criteria and validate those solutions meet business needs through defining and coordinating testing.
Create and present compelling business cases to justify solution value and establish approval, funding and prioritization.
Initiate, plan, execute, monitor, and control Business Analysis activities on projects within agreed parameters of cost, time and quality.
Understand and stay abreast of relevant architectures and technologies related to a business area. Research potential solutions and innovative ideas.
Guide and manage interactions with technology vendors.
Lead stakeholder management activities, including facilitation of large design sessions.
Special Challenges:
Respond to organizational and environmental changes during in-progress activities.
Guide business stakeholders to gain acceptance / sign-off despite competing objectives. Manage requirements to the smallest set that will provide the biggest impact in advancing business objectives and end-user buy-in.
Describe technology in terms easily understood by business customers and set realistic customer expectations for the project outcome. Adjust customer expectations in accordance with changes in scope.
Generate innovative approaches to existing problems or new opportunities.
Work closely with stakeholders to build trust and understand their goals,motivations, constraints, risks, and operating environment
Skills & Requirements: -
Bachelor Degree in Computer Science or IT
Agile project experience
Good understanding and experience of the various Agile frameworks
Experience working in Agile projects and educating stakeholders including Product Owners and Business partners in Agile ways of working
Experience in Agile tooling (ex -VSTS) is a must.
Agile certifications/trainings preferred
Understanding of systems engineering concepts and data/process analysis and modelling.
Knowledge of the technology landscape, including current and future developments and the most commonly available products and integrated solutions.
Ability to take a systematic and analytical approach to problem-solving and pay close attention to detail.
Experience analysing the alignment between business requirements and system capabilities.
Strong interpersonal and influencing skills.
Ability to communicate concisely and clearly.
Organization Distribution:
Job Types: Full-time, Contract
Contract length: 21 months
Salary: RM12,000.00 - RM15,000.00 per month
Benefits:
Health insurance
Opportunities for promotion
Professional development
Schedule:
Day shift
Flexible hours
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Agile frameworks: 6 years (Preferred)
data/process analysis and modelling: 5 years (Preferred)
License/Certification:
Agile (Preferred)",MYR 144K - MYR 180K (Employer est.),-1,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Standard Chartered
3.9",Kuala Lumpur,"Business Planning Analyst, Solv Venture - SC Ventures","Job: Business Support and Management
Primary Location: Asia-Malaysia-Kuala Lumpur
Schedule: Full-time
Employee Status: Permanent
Posting Date: 16/Mar/2022, 1:29:54 AM
Unposting Date: 15/Apr/2022, 5:59:00 PM

About the Venture
Solv Malaysia (the “Venture”) is a newly formed SCV-backed entity creating a digital Business to Business (“B2B”) e-commerce marketplace that will address growth challenges for the micro, small and medium sized businesses (“MSMEs”) in Malaysia while linking them to local and global supply chains.
The platform will help MSMEs grow their business by connecting verified buyers and sellers, facilitating them for quick and easy access to finance; as well as taking advantage of affordable and reliable business services to meet the pain points of the MSMEs in Malaysia.

About the role
The Business Planning Analyst for the Venture will assist all operations and ensure business processes are set up in a sustainable and agile way to support the Venture in all phases from product development, go-live, run and expansion. You will assist with providing business critical insights using analytics, ensures cross functional alignment of goals and execution.
This is a rare opportunity for a self-driven, strong entrepreneurial spirit, start-up minded, solid and passionate leader to participate and contribute to a venture.
Responsibilities
Overall
Project planning, execution, follow ups
Interface with relevant stakeholders to overcome obstacles to implementation
Lead with the preparation and communication of high-quality and timely submissions of materials for the Venture to internal stakeholders and external clients
Assist in the budgeting and financial analysis for the Venture
Assist in managing various projects and initiatives and undertake ad hoc thematic work for the Venture Lead / CEO and the Operations Lead / COO
Assist in developing overall business strategies of the Venture
Set up governance cadence and assist with regular senior management and board meetings and ad hoc meetings including any follow up actions
Develop efficient business processes to support the growing business.
Take active lead regarding set-up of risk management framework, policies and standards
Perform any other tasks assigned by the Venture Lead / CEO and Operations Lead / COO
Stakeholder Management
Effectively engage Solv Malaysia and SCV stakeholders across functions
Strong communication skills, ability to tailor ideas to required audience and stakeholders
Possess a driven, can-do attitude and proactive in supporting stakeholder engagement
Comfortable in working with multiple stakeholders’ teams and functions
Build strong and effective relationships with the various technology and business counterparts
Some experience in co-ordination of multiple dependencies and stakeholders in complex, large scale deployment environments
People and Talent
Lead by example and assist in building the appropriate culture and values
Create a motivational and challenging environment in the team which is conducive to creativity and delivery of the strategy
Governance
Act and escalate quickly when any risk and control weakness become apparent and ensure they are addressed within an appropriate timeframe and escalated through the relevant committees
Work with multiple stakeholders to establish applicable risk / control framework to ensure that the Group’s ability to remain within risk appetite is not materially threatened
Familiarise self with governance structures and mandatory bank processes
Regulatory & Business Conduct
Display exemplary conduct and live by the Group’s as well as Solv’ Values and Code of Conduct
Take personal responsibility for embedding the highest standards of ethics, including regulatory and business conduct, across SCB
Comply with all Compliance (AML, anti-fraud, anti-corruption etc.) requirements when performing duties
Effectively and collaboratively identify, escalate, mitigate and resolve risk, conduct and compliance matters
Key Stakeholders
Venture Lead / CEO
Solv Malaysia team members
Desired Experience, Knowledge & Skills
3+ years of experience
Experience working in corporates and ideally start-up environment
Strong project management, analytics, problem-solving, interpersonal and multi-tasking skills
Ability to learn quick and thrive in ambiguous environment
Excellent communication skills, both spoken and written
Experience of running large complex projects in a start-up environment is a plus
Being able to manage budgets in greenfield digital space
Personal integrity and proactive hand-on working attitude
Imaginative and creative approach to how we do work
Curiosity about new technologies, workflows, and products
Ability to see things from multiple perspectives, learn every day as well as continuously challenge the status quo of yourself, the team and the direction Solv Malaysia goes
Tireless work ethic and enthusiasm to execute and get things done
About SC Ventures
SC Ventures, part of Standard Chartered Bank (the “Bank”), is the platform and catalyst for innovation, investments in disruptive financial technology and exploration of alternative business models.
Our eXellerator enables us to facilitate innovation and culture change within the Bank and with our ecosystem partners; to change the way the Bank serves clients.
Our innovation investment fund enables our investment in validated fintech to develop future tech capabilities; integrating technology and capabilities into the Bank and ventures to drive speed and scale.
Our venture building stream explores new business models, with the objective of providing 'optionality' for the Group in the way it engages existing and new customers and markets.",-1,3.9,10000+ Employees,1969,Company - Public,Finance,Investment Banking & Asset Management,$10 to $25 million (USD)
KINSAJASA SENDIRIAN BERHAD,Malaysia,DATA ANALYST,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. TheyÃ‚Â might prepare reports in the form of visualisations such as graphs, charts, and dashboards.
VISION: To position as an effective and efficient market leader providing products, equipment and technical support to the oil and gas and petrochemical industries within the Asean region. MISION: â€¢ Strive for market acceptance and total customer satisfaction through quality products and services that meet and exceed clientâ€™s expectation. â€¢ We are dedicated to the advancement of safe and sustainable services for our clients. â€¢ Continue to maximize Shareholdersâ€™ value through cost-effective management of resources with strong emphasis on productivity, efficiency, and competitiveness. â€¢ To provide cutting-edge technological products supported by innovative and quality services. â€¢ To source, acquire, manage and apply the knowledge and expertise in the area of technical processes and methodology relating to preservation and cleaning of the environment in pursuit of an ideal, natural, green and clean surrounding for human habitat.
Bachelor's or Equivalent",MYR 36K - MYR 42K (Employer est.),-1,-1,-1,-1,-1,-1,-1
"Shopee
3.9",Kuala Lumpur,Business Intelligence - Data Analyst,"DepartmentData Analytics
LevelEntry Level
LocationMalaysia - Kuala Lumpur
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
About the Team:
The Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As data analysts, our scope of work is not limited to just performance monitoring and reporting, but also in proactively finding actionable insights to help drive high-impact business changes. Our end-to-end data solution reduces the gap between the business teams and technical teams, and achieves real ‘intelligence’ in the iteration cycle. Browse our Data Analytics team openings to see how you can make an impact with us.
Job Description:
Establish processes to collect and analyse internal and relevant external data to derive value added observations and insights
Manage and work extensively with large amount of data and providing data-driven insights to support the business teams in executing strategic planning, drive improvements and make sound business decisions
Be the oracle that can spot dangers and pitfalls down the road by monitoring and analysing trends, and taking a critical view of existing business strategy
Setup, maintain and automate reports, dashboards and various business processes required by different stakeholders and the company
Establish processes to identify and keep track of appropriate indicators to monitor performance and progress
Work and collaborate with internal stakeholders to identify and define problem statements and pain points, gather requirements, prioritize and implement sustainable solutions that will meet business needs

Requirements:
Degree in Data Analytics, Information Technology, or any other similar courses
Fresh graduates or candidates with up to 2 years of working experience in data analysis field
Proficiency in Google Sheets / Microsoft Excel and SQL (Structured Query Language) - preferably with at least 1 year of working experience handling medium-big data
Proficiency in Python / R / programming languages is an added advantage
Has experience in liaising and managing different business stakeholders to gather requirements effectively
A logical and systematic thinker with the ability to understand the holistic picture
Able to present ideas and solutions in a structured manner
Able to work and learn independently, and manage time effectively",-1,3.9,5001 to 10000 Employees,2015,Company - Private,Information Technology,Internet,Unknown / Non-Applicable
"tigerlab Sdn Bhd
4.4",Petaling Jaya,Business Analyst,"Responsibilities
Act as the main point of contact on key accounts, juggling various client requests from product roll outs, to optimization as well as general queries.
Help develop client relationships and support existing accounts.
Understand and communicate customer quality and business requirements.
Monitoring the client’s product performance.
Test new product development, give feedback and raise bugs to the engineering team
Actively stay ahead of trends and adapt to new and changing social platforms and products.
Attend and contribute to brainstorming / ideation sessions.
Support and carry out product and user research activities
Create process flow charts and documentation
*
Requirements
Fresh graduates with a Bachelor’s Degree, Post Graduate Diploma, Professional Degree, Science & Technology or equivalent are encouraged to apply and open to learning.
At least 1 year(s) of working experience in the related field is required for this position.
Well versed in using tools like Jira and Scrum (preferred).
Microsoft Office software experience (Outlook, Word, Excel, PowerPoint).
Ability to handle multiple tasks in a fast-paced environment under tight deadlines.
Ability to work independently and collaboratively.
Strong organizational skills.
Strong verbal / written communication skills.
Exhibit enthusiasm, passion, creativity, and commitment.
Excellent eye for detail
Fluent in English (written and verbal)
*
Who we are:
LEADING GLOBAL PROVIDER OF CLOUD-BASED INSURANCE SOFTWARE
Leading provider of cloud-based Insurance Software Solutions
Enabling newest InsurTech trends like IoT, Big Data and Artificial Intelligence
EMPLOYEES
tigerlab currently has 35+ employees across Europe and Asia.
OPPORTUNITIES FOR ADVANCEMENT
We are a fast-growing company that offers career opportunities, and not just “another job”.
We believe in growing our employees and promoting from within, offering many opportunities for professional advancement along the way!
Why you should join us :
Our People – we take pride in our diverse employees of over 10 nationalities who are some of the smartest and most passionate people you will ever meet
You like to pursue your hobbies and spend time with your family? – we have flexible working hours and opportunities to Work From Home
Be part of a fast growing SME where our jobs are sustainable AND you will be able to make real contributions and impact to the insure-tech industry
Have a brilliant idea you would like to share with us? We have an open door policy and our employees have their own platform to provide feedback, ideas, opinions
You have the opportunity to bring in new ideas and concepts to move forward one of the oldest and largest industries with the aim of becoming one of the worlds best insurance software company
We provide Macbooks for all our employees, besides who wouldn’t want a Macbook ?
We pay a competitive salary and we also recognize and reward achievements – Employee of The Month programs and more. Let’s strive together to achieve excellence!
Never worry about accessibility as our office is connected to the MRT and you will be spoilt for choices of food as 1 Utama shopping mall is only a 10 mins walk away.
Hope you love the smell of coffee brewing in the mornings coz we have free-flow of coffee for all you coffee lovers!
Find out more:
Please visit www.tigerlab.com
Job Type: Full-time
Salary: RM3,500.00 - RM5,000.00 per month
Schedule:
Monday to Friday",MYR 42K - MYR 60K (Employer est.),4.4,1 to 50 Employees,2008,Company - Private,Information Technology,Computer Hardware & Software,$1 to $5 million (USD)
"Vivcal Technologies Sdn Bhd
4.0",Kuala Lumpur,BUSINESS ANALYST ( REACHABLE BY MRT TRX),"Job Purpose
The incumbent will work with the Senior BA to gather the requirement of process / functional or reporting
arises from statutory requirement or enhancement to the system into proper documentation, where the
requirement may be initiated from the business or technology, based on market demand.
Duties & Responsibilities
1. To ensure optimum service level is extended to customer (internal users) are aligned in accordance
with the service level, defined in the severity level reporting in term of supporting users
2. To develop test scenarios and test script based on the requirement of BRD and conduct quality test results
3. To develop clear scope of requirement documentation (BRD) with process for reviewed and signoff by stakeholders
4. Ability to conduct a review, evaluate, analyze, and verify that requirements are aligned to the business model and objective of business or if it is relevant to the processes or functionality of the organization
5. To ensure adhere to corporate and regulatory compliance in all IT execution and cybersecurity
6. To mentor and coach junior BA team (if any in future) to ensure team productivity
Qualifications
1. Diploma / Degree holder in Economics, Business, Accounting or Financial / Banking
2. Good knowledge of MS Word, MS Excel and Powerpoint
Special Requirements (if any)
Skills:
a. Strong process flow and critical thinking
b. Strong documentation and presentation skills
Job Types: Full-time, Permanent
Salary: Up to RM6,000.00 per month
Schedule:
Monday to Friday
Experience:
IT BUSINESS ANALYST: 1 year (Preferred)",MYR 72K (Employer est.),4,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
